Ignore,Year,Month,Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount
194952,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1165546,0.01
194953,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,Specialist Training (Devolved),DG EUROPE AND GLOBALISATION,LSE ENTERPRISE LIMITED,1165561,893.5
194954,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,Specialist Training (Devolved),DG EUROPE AND GLOBALISATION,LSE ENTERPRISE LIMITED,1165561,"17,850.00"
194955,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,Specialist Training (Devolved),DG EUROPE AND GLOBALISATION,LSE ENTERPRISE LIMITED,1165561,40.57
194956,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,Specialist Training (Devolved),DG EUROPE AND GLOBALISATION,LSE ENTERPRISE LIMITED,1165561,"12,639.80"
194957,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,Specialist Training (Devolved),DG EUROPE AND GLOBALISATION,LSE ENTERPRISE LIMITED,1165561,"2,561.20"
194958,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,Specialist Training (Devolved),DG EUROPE AND GLOBALISATION,LSE ENTERPRISE LIMITED,1165561,471.32
194959,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,P.A.Y.E Income Tax (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,4006844,"3,712,064.84"
194960,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,National Insurance (NI) (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,4006844,"2,191,777.65"
194961,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Jun-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,FISCAL CRIME LIAISON OFFICE,300002566,"112,862.57"
194962,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,11-Jun-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1165759,"19,663.00"
194963,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,11-Jun-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1165759,"15,582.00"
194964,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,11-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1165759,"6,167.88"
194965,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,11-Jun-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1165759,"-19,663.00"
194966,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,11-Jun-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1165759,"-15,582.00"
194967,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,11-Jun-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1165759,"18,179.00"
194968,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,11-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165759,"17,066.00"
194969,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,11-Jun-10,Rates Taxes Non-Residential,DG CHANGE & DELIVERY,MILTON KEYNES COUNCIL,1165803,"828,000.00"
194970,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"24,857.00"
194971,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"4,349.98"
194972,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"5,936.00"
194973,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"18,921.00"
194974,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"-24,857.00"
194975,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"-4,349.98"
194976,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1165854,"4,349.98"
194977,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"-18,921.00"
194978,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"-5,936.00"
194979,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1165854,"-4,349.98"
194980,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"24,857.00"
194981,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1165854,"4,349.98"
194982,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"52,210.17"
194983,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,"7,831.53"
194984,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"-52,210.17"
194985,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,"-7,831.53"
194986,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"52,210.17"
194987,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"9,136.78"
194988,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,"-7,831.53"
194989,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,"7,831.53"
194990,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,-0.01
194991,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"-52,210.17"
194992,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"-9,136.78"
194993,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,0.01
194994,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"20,636.25"
194995,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"31,573.92"
194996,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,"9,136.78"
194997,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,-0.01
194998,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"-31,573.92"
194999,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"-20,636.25"
195000,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,"-9,136.78"
195001,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,0.01
195002,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"20,636.25"
195003,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1165862,"31,573.92"
195004,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,"9,136.78"
195005,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1165862,-0.01
195006,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Jun-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,WESTMINSTER FOUNDATION FOR DEMOCRACY,1165899,"395,898.00"
195007,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,BBC WORLD SERVICE TRUST,18892,"51,656.00"
195008,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,CONCILIATION RESOURCES,18893,"59,727.39"
195009,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,"45,200.00"
195010,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,"1,500.00"
195011,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,900
195012,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,252
195013,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,324
195014,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,500
195015,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,200
195016,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,"11,106.00"
195017,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,"1,943.55"
195018,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1165915,35
195019,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1165915,"8,518.30"
195020,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,-252
195021,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1165915,-44.1
195022,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,324
195023,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,-324
195024,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,252
195025,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,-500
195026,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,500
195027,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,-324
195028,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,288
195029,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,-288
195030,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,324
195031,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,-252
195032,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,-324
195033,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1165915,-56.7
195034,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,224
195035,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,288
195036,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,28
195037,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1165915,36
195038,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1165915,56.7
195039,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,940.02
195040,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,939.99
195041,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,624.04
195042,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,525.99
195043,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"3,367.00"
195044,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"18,871.00"
195045,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,540
195046,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"120,213.64"
195047,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"2,818.85"
195048,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"2,859.79"
195049,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,939.72
195050,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,940.14
195051,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"3,420.00"
195052,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"3,933.89"
195053,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,470
195054,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"1,345.99"
195055,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,469.84
195056,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,469.84
195057,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,654.78
195058,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"3,144.94"
195059,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,940.02
195060,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"19,733.68"
195061,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,"4,111.55"
195062,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,1165977,216.42
195063,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,JORDAN & BATEMAN ARCHITECTS,1165987,"32,487.55"
195064,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Electricity Non-Residential,DG CHANGE & DELIVERY,LONDON ENERGY,1165993,"37,582.82"
195065,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Electricity Non-Residential,DG CHANGE & DELIVERY,LONDON ENERGY,1165993,"6,576.99"
195066,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1166046,"28,085.00"
195067,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1166046,451.2
195068,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1166046,240
195069,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1166046,"1,511.10"
195070,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,THE TAYLOR CLARKE PARTNERSHIP LTD,1166046,"5,300.28"
195071,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,DETICA LTD,1166086,"25,740.00"
195072,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,DETICA LTD,1166086,"4,504.50"
195073,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,Energy Saving Measures,UK TRADE AND INVESTMENT DIRECTORATE,FINANCIAL TIMES LIMITED,1166095,"35,000.00"
195074,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,Energy Saving Measures,UK TRADE AND INVESTMENT DIRECTORATE,FINANCIAL TIMES LIMITED,1166095,"6,125.00"
195075,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"22,100.00"
195076,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"9,490.00"
195077,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"3,315.00"
195078,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"1,423.50"
195079,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"-22,100.00"
195080,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"-9,490.00"
195081,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"-3,315.00"
195082,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"-1,423.50"
195083,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"22,100.00"
195084,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"9,490.00"
195085,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"3,867.50"
195086,2010,Jun,Foreign & Commonwealth Office,Foreign & Commonwealth Office,16-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,PA CONSULTING GROUP,1166120,"1,660.75"
