Country-code,Major area (UN),"Region (GR)
(UN)",Sort Bureau,Bureu/operation (UNHCR),COUNTRY,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,"Internally Displaced Persons (IDPs) protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons,Others helped by UNHCR,Total population of concern
COS,Latin America and the Caribbean,Latin America,5,RBAC,Costa Rica,"11,923","6,213","18,136","14,431",463,0,0,0,0,0,"18,599"
ICO,Africa,West Africa,1,WA,Côte d'Ivoire,"24,811",0,"24,811","24,811",297,49,"683,956","25,092",0,0,"734,205"
HRV,Europe,South-Eastern Europe,4,RBE,Croatia,"1,378",219,"1,597","1,597",62,"1,147","2,497",376,180,"28,084","33,943"
CUB,Latin America and the Caribbean,Latin America,5,RBAC,Cuba,525,0,525,405,10,0,0,0,0,0,535
CYP,Asia,Central Europe and the Baltic States,4,RBE,Cyprus,"1,465",0,"1,465",0,"8,014",0,0,0,0,0,"9,479"
CZE,Europe,Central Europe and the Baltic States,4,RBE,Czech Rep.,"2,110",0,"2,110","2,110","1,448",0,0,0,0,0,"3,558"
COD,Africa,Central Africa and Great Lakes,1,CA-GL,Dem. Rep. of the Congo,"155,162",0,"155,162","2,894",10,"54,043","1,460,102",0,0,6,"1,669,323"
DEN,Europe,Western Europe,4,RBE,Denmark,"23,401",0,"23,401",0,527,0,0,0,"3,687",0,"27,615"
DJB,Africa,East and Horn of Africa,1,EHA,Djibouti,"9,228",0,"9,228","8,924",428,0,0,0,0,0,"9,656"
ECU,Latin America and the Caribbean,Latin America,5,RBAC,Ecuador,"19,098","82,300","101,398","19,098","33,919",0,0,0,0,0,"135,317"
ARE,Africa,The Middle East,3,MENA,Egypt,"97,861",0,"97,861","27,861","14,680",0,0,0,64,0,"112,605"
SAL,Latin America and the Caribbean,Latin America,5,RBAC,El Salvador,32,0,32,30,0,0,0,0,0,0,32
EGU,Africa,Central Africa and Great Lakes,1,CA-GL,Equatorial Guinea,0,0,0,0,0,1,0,0,0,0,1
ERT,Africa,East and Horn of Africa,1,EHA,Eritrea,"4,862",0,"4,862","4,820",130,92,0,0,0,0,"5,084"
EST,Europe,Central Europe and the Baltic States,4,RBE,Estonia,22,0,22,0,7,0,0,0,"110,315",0,"110,344"
ETH,Africa,East and Horn of Africa,1,EHA,Ethiopia,"83,583",0,"83,583","83,583","1,667",167,0,0,0,0,"85,417"
FIJ,Oceania,East Asia and the Pacific,2,RBAP,Fiji,0,0,0,0,6,0,0,0,0,0,6
FIN,Europe,Western Europe,4,RBE,Finland,"6,617",0,"6,617",0,"2,742",0,0,0,"1,397",0,"10,756"
